shipment_id,pause_start_local,pause_end_local
1,2026-03-10T11:50:00,2026-03-10T12:20:00
1,2026-03-10T12:20:00,2026-03-10T12:50:00
2,2026-03-10T21:31:00,2026-03-10T21:31:00
4,2026-03-10T20:45:00,2026-03-10T21:15:00
4,2026-03-10T21:15:00,2026-03-10T21:45:00
5,2026-03-10T00:32:00,2026-03-10T00:32:00
6,2026-03-10T12:11:00,2026-03-10T12:11:00
7,2026-03-09T23:21:00,2026-03-10T00:06:00
8,2026-03-10T22:12:00,2026-03-10T22:27:00
8,2026-03-10T23:22:00,2026-03-10T23:47:00
9,2026-03-10T05:14:00,2026-03-10T05:44:00
9,2026-03-10T05:44:00,2026-03-10T06:14:00
10,2026-03-09T23:56:00,2026-03-10T00:41:00
11,2026-03-10T21:11:00,2026-03-10T21:41:00
11,2026-03-10T21:41:00,2026-03-10T22:11:00
12,2026-03-10T20:58:00,2026-03-10T21:28:00
12,2026-03-10T21:28:00,2026-03-10T21:58:00
13,2026-03-10T23:34:00,2026-03-11T00:09:00
14,2026-03-10T20:41:00,2026-03-11T00:13:00
15,2026-03-10T05:27:00,2026-03-10T05:42:00
15,2026-03-10T06:37:00,2026-03-10T07:02:00
16,2026-03-10T21:18:00,2026-03-10T22:08:00
16,2026-03-10T21:28:00,2026-03-10T21:58:00
16,2026-03-10T21:53:00,2026-03-10T22:28:00
17,2026-03-10T11:57:00,2026-03-10T12:12:00
17,2026-03-10T13:07:00,2026-03-10T13:32:00
18,2026-03-10T11:48:00,2026-03-10T12:03:00
18,2026-03-10T12:58:00,2026-03-10T13:23:00
19,2026-03-10T23:09:00,2026-03-10T23:54:00
19,2026-03-10T23:29:00,2026-03-11T00:09:00
20,2026-03-09T23:26:00,2026-03-10T00:11:00
21,2026-03-09T23:59:00,2026-03-10T00:44:00
22,2026-03-10T22:50:00,2026-03-10T23:35:00
22,2026-03-10T23:10:00,2026-03-10T23:50:00
23,2026-03-10T05:49:00,2026-03-10T06:39:00
23,2026-03-10T05:59:00,2026-03-10T06:29:00
23,2026-03-10T06:24:00,2026-03-10T06:59:00
24,2026-03-10T21:25:00,2026-03-10T22:15:00
24,2026-03-10T21:35:00,2026-03-10T22:05:00
24,2026-03-10T22:00:00,2026-03-10T22:35:00
25,2026-03-10T00:06:00,2026-03-10T00:21:00
25,2026-03-10T01:16:00,2026-03-10T01:41:00
27,2026-03-10T11:00:00,2026-03-10T11:45:00
28,2026-03-10T08:02:00,2026-03-10T08:37:00
29,2026-03-10T06:27:00,2026-03-10T07:27:00
29,2026-03-10T06:42:00,2026-03-10T06:57:00
30,2026-03-10T11:18:00,2026-03-10T14:17:00
31,2026-03-10T20:43:00,2026-03-10T21:13:00
31,2026-03-10T21:13:00,2026-03-10T21:43:00
32,2026-03-10T21:43:00,2026-03-10T22:28:00
32,2026-03-10T22:03:00,2026-03-10T22:43:00
33,2026-03-10T00:40:00,2026-03-10T01:30:00
33,2026-03-10T00:50:00,2026-03-10T01:20:00
33,2026-03-10T01:15:00,2026-03-10T01:50:00
34,2026-03-10T20:36:00,2026-03-11T00:16:00
35,2026-03-10T01:39:00,2026-03-10T02:39:00
35,2026-03-10T01:54:00,2026-03-10T02:09:00
36,2026-03-10T04:52:00,2026-03-10T08:05:00
37,2026-03-10T20:10:00,2026-03-10T20:55:00
38,2026-03-10T21:50:00,2026-03-10T22:50:00
38,2026-03-10T22:05:00,2026-03-10T22:20:00
39,2026-03-10T13:59:00,2026-03-10T14:34:00
40,2026-03-10T12:21:00,2026-03-10T13:06:00
40,2026-03-10T12:41:00,2026-03-10T13:21:00
41,2026-03-10T23:02:00,2026-03-11T00:02:00
41,2026-03-10T23:17:00,2026-03-10T23:32:00
42,2026-03-10T00:54:00,2026-03-10T00:54:00
43,2026-03-10T22:34:00,2026-03-10T23:24:00
43,2026-03-10T22:44:00,2026-03-10T23:14:00
43,2026-03-10T23:09:00,2026-03-10T23:44:00
45,2026-03-09T23:56:00,2026-03-10T00:41:00
46,2026-03-10T05:49:00,2026-03-10T06:34:00
46,2026-03-10T06:09:00,2026-03-10T06:49:00
47,2026-03-10T21:39:00,2026-03-10T22:39:00
47,2026-03-10T21:54:00,2026-03-10T22:09:00
48,2026-03-10T00:20:00,2026-03-10T02:48:00
49,2026-03-10T01:18:00,2026-03-10T02:03:00
49,2026-03-10T01:38:00,2026-03-10T02:18:00
50,2026-03-10T12:15:00,2026-03-10T12:45:00
50,2026-03-10T12:45:00,2026-03-10T13:15:00
51,2026-03-10T19:56:00,2026-03-10T20:41:00
53,2026-03-10T20:10:00,2026-03-10T23:39:00
56,2026-03-10T14:35:00,2026-03-10T15:10:00
57,2026-03-10T00:26:00,2026-03-10T00:41:00
57,2026-03-10T01:36:00,2026-03-10T02:01:00
58,2026-03-10T06:18:00,2026-03-10T07:18:00
58,2026-03-10T06:33:00,2026-03-10T06:48:00
59,2026-03-10T21:39:00,2026-03-10T22:39:00
59,2026-03-10T21:54:00,2026-03-10T22:09:00
60,2026-03-09T23:44:00,2026-03-10T03:01:00
61,2026-03-11T00:17:00,2026-03-11T03:15:00
62,2026-03-11T21:04:00,2026-03-11T21:04:00
63,2026-03-11T21:44:00,2026-03-11T22:44:00
63,2026-03-11T21:59:00,2026-03-11T22:14:00
64,2026-03-12T01:19:00,2026-03-12T01:54:00
65,2026-03-11T05:42:00,2026-03-11T06:32:00
65,2026-03-11T05:52:00,2026-03-11T06:22:00
65,2026-03-11T06:17:00,2026-03-11T06:52:00
66,2026-03-11T11:13:00,2026-03-11T14:21:00
67,2026-03-11T14:05:00,2026-03-11T14:40:00
68,2026-03-12T00:59:00,2026-03-12T01:34:00
69,2026-03-11T02:57:00,2026-03-11T03:32:00
70,2026-03-11T01:12:00,2026-03-11T01:57:00
70,2026-03-11T01:32:00,2026-03-11T02:12:00
71,2026-03-11T22:50:00,2026-03-11T23:20:00
71,2026-03-11T23:20:00,2026-03-11T23:50:00
72,2026-03-11T23:36:00,2026-03-12T00:11:00
73,2026-03-11T05:10:00,2026-03-11T08:10:00
74,2026-03-11T05:10:00,2026-03-11T08:11:00
75,2026-03-11T05:44:00,2026-03-11T06:14:00
75,2026-03-11T06:14:00,2026-03-11T06:44:00
76,2026-03-11T00:38:00,2026-03-11T01:08:00
76,2026-03-11T01:08:00,2026-03-11T01:38:00
77,2026-03-11T07:37:00,2026-03-11T08:12:00
78,2026-03-11T04:40:00,2026-03-11T05:25:00
79,2026-03-11T21:40:00,2026-03-11T22:25:00
79,2026-03-11T22:00:00,2026-03-11T22:40:00
80,2026-03-11T05:21:00,2026-03-11T05:51:00
80,2026-03-11T05:51:00,2026-03-11T06:21:00
81,2026-03-11T12:18:00,2026-03-11T12:48:00
81,2026-03-11T12:48:00,2026-03-11T13:18:00
82,2026-03-11T12:04:00,2026-03-11T12:04:00
83,2026-03-11T01:12:00,2026-03-11T02:12:00
83,2026-03-11T01:27:00,2026-03-11T01:42:00
84,2026-03-11T22:37:00,2026-03-11T22:52:00
84,2026-03-11T23:47:00,2026-03-12T00:12:00
85,2026-03-11T12:12:00,2026-03-11T12:42:00
85,2026-03-11T12:42:00,2026-03-11T13:12:00
87,2026-03-11T23:18:00,2026-03-12T00:03:00
87,2026-03-11T23:38:00,2026-03-12T00:18:00
88,2026-03-11T22:15:00,2026-03-12T01:11:00
89,2026-03-11T00:27:00,2026-03-11T00:57:00
89,2026-03-11T00:57:00,2026-03-11T01:27:00
90,2026-03-11T21:21:00,2026-03-11T21:21:00
