shipment_id,route_id,ship_ts_utc,service_start_local,service_end_local,tz_offset_minutes
1,R001,2026-03-10T00:00:00Z,2026-03-10T11:20:00,2026-03-10T14:50:00,540
2,R001,2026-03-10T00:58:00Z,2026-03-10T20:46:00,2026-03-10T23:46:00,540
3,R001,2026-03-09T15:14:00Z,2026-03-10T00:07:00,2026-03-10T02:40:00,540
4,R001,2026-03-10T23:03:00Z,2026-03-10T20:15:00,2026-03-10T23:56:00,540
5,R001,2026-03-08T23:54:00Z,2026-03-09T23:47:00,2026-03-10T02:56:00,540
6,R001,2026-03-10T02:37:00Z,2026-03-10T11:26:00,2026-03-10T14:39:00,540
7,R001,2026-03-09T15:45:00+00:00,2026-03-09T23:41:00,2026-03-10T02:57:00,540
8,R001,2026-03-11T00:03:00+00:00,2026-03-10T21:52:00,2026-03-11T01:37:00,540
9,R001,2026-03-09T00:07:00Z,2026-03-10T04:44:00,2026-03-10T08:04:00,540
10,R001,2026-03-08T21:23:00Z,2026-03-10T00:16:00,2026-03-10T03:15:00,540
11,R001,2026-03-10T23:51:00+00:00,2026-03-10T20:41:00,2026-03-11T00:03:00,540
12,R001,2026-03-11T00:10:00+00:00,2026-03-10T20:28:00,2026-03-11T00:16:00,540
13,R001,2026-03-10T00:46:00+00:00,2026-03-10T20:20:00,2026-03-10T23:49:00,540
14,R001,2026-03-11T01:32:00Z,2026-03-10T20:41:00,2026-03-11T00:13:00,540
15,R001,2026-03-09T20:09:00+00:00,2026-03-10T05:07:00,2026-03-10T07:57:00,540
16,R001,2026-03-09T21:26:00+00:00,2026-03-10T20:38:00,2026-03-10T23:43:00,540
17,R001,2026-03-09T22:45:00+00:00,2026-03-10T11:37:00,2026-03-10T14:20:00,540
18,R001,2026-03-09T23:54:00+00:00,2026-03-10T11:28:00,2026-03-10T14:43:00,540
19,R001,2026-03-10T13:00:00Z,2026-03-10T22:09:00,2026-03-11T01:43:00,540
20,R001,2026-03-09T14:32:00+00:00,2026-03-09T23:46:00,2026-03-10T02:40:00,540
21,R001,2026-03-08T23:17:00Z,2026-03-10T00:19:00,2026-03-10T03:16:00,540
22,R001,2026-03-10T22:52:00+00:00,2026-03-10T21:50:00,2026-03-11T01:41:00,540
23,R001,2026-03-09T20:20:00+00:00,2026-03-10T05:09:00,2026-03-10T07:49:00,540
24,R001,2026-03-10T13:15:00Z,2026-03-10T20:45:00,2026-03-10T23:39:00,540
