event_id,customer_id,event_type,amount,tax_rate,event_date
1,1000,purchase,,0.10500000000000001,2024-04-11
2,1000,pause,,,16/04/2024
3,1000,pause,,,06-09-2024
4,1000,resume,,,2024-08-03
5,1000,purchase,366.0,0.10261089704449036,10/08/2024
6,1000,purchase,383.0,0.12563747314395646,08-30-2024
7,1000,purchase,44.0,0.10491838863697399,2024-09-11
8,1000,purchase,363.0,0.09557365855663788,16/09/2024
9,1000,refund,169.0,0.09100486070405486,10-14-2024
10,1000,purchase,68.0,0.08890179834348758,2024-11-03
11,1000,purchase,196.0,0.1078652684445024,18/02/2025
12,1000,pause,,,02-22-2025
13,1000,refund,379.0,0.10510975051656213,2025-02-22
14,1000,refund,160.0,0.0998659057728799,28/02/2025
15,1001,purchase,132.0,0.1000381530437663,04-12-2024
16,1001,purchase,338.0,0.08514907396656578,2024-04-14
17,1001,purchase,74.0,0.12730577310668165,18/05/2024
18,1001,purchase,477.0,0.12487152049094422,05-19-2024
19,1001,purchase,106.0,0.12894657178079805,2024-07-17
20,1001,pause,,,21/09/2024
21,1001,pause,,,10-22-2024
22,1001,resume,,,2024-11-10
23,1001,purchase,342.0,0.09155373982940357,12/01/2025
24,1001,purchase,347.0,0.0852054290992287,02-10-2025
25,1002,purchase,180.0,0.09039431275730136,2024-05-02
26,1002,purchase,400.0,0.1238222037937647,15/06/2024
27,1002,purchase,101.0,0.12463358555384875,07-12-2024
28,1002,refund,423.0,0.09679329285749176,2024-07-22
29,1002,pause,,,30/07/2024
30,1002,resume,,,08-23-2024
31,1002,purchase,39.0,0.11120744539245671,2024-10-07
32,1002,purchase,241.0,0.09813789473329727,24/10/2024
33,1002,pause,,,12-04-2024
34,1002,resume,,,2025-01-14
35,1002,purchase,383.0,0.08700565878832263,07/02/2025
36,1002,pause,,,02-10-2025
37,1002,resume,,,2025-02-21
38,1002,pause,,,02/03/2025
39,1003,purchase,94.0,0.10500000000000001,02-04-2024
40,1003,purchase,61.0,0.10882582377571268,2024-02-08
41,1003,purchase,36.0,0.10026240440138444,25/02/2024
42,1003,purchase,95.0,0.09032106358803016,03-01-2024
43,1003,purchase,488.0,0.09318419013173082,2024-03-21
44,1003,purchase,238.0,0.10987065510851542,01/04/2024
