customer_id,reliability_score,potential_value,account_status,signup_date
1000,402,166867,2,2024-04-16 00:00:00.000000
1001,371,130268,0,2024-03-23 00:00:00.000000
1002,514,188266,0,2024-04-26 00:00:00.000000
1003,399,36023,0,2024-02-22 00:00:00.000000
1004,643,84925,0,2024-03-04 00:00:00.000000
1005,576,105305,0,2024-04-17 00:00:00.000000
1006,774,176730,0,2024-04-01 00:00:00.000000
1007,489,149981,1,2024-02-20 00:00:00.000000
1008,543,51551,0,2024-04-10 00:00:00.000000
1009,320,107313,2,2024-02-29 00:00:00.000000
1010,313,194073,0,2024-02-22 00:00:00.000000
1011,639,140174,0,2024-02-13 00:00:00.000000
1012,808,37159,0,2024-03-18 00:00:00.000000
1013,380,39457,0,2024-02-23 00:00:00.000000
1014,405,72995,0,2024-03-03 00:00:00.000000
1015,701,57065,1,2024-01-14 00:00:00.000000
1016,570,60397,0,2024-03-02 00:00:00.000000
1017,595,43247,1,2024-04-20 00:00:00.000000
1018,352,106807,0,2024-02-29 00:00:00.000000
1019,679,58044,1,2024-03-05 00:00:00.000000
1020,820,140151,0,2024-01-08 00:00:00.000000
1021,771,199262,1,2024-03-21 00:00:00.000000
1022,691,33986,1,2024-01-05 00:00:00.000000
1023,789,46854,0,2024-01-28 00:00:00.000000
1024,434,28392,0,2024-02-03 00:00:00.000000
1025,332,109135,0,2024-03-02 00:00:00.000000
1026,398,30965,1,2024-03-05 00:00:00.000000
1027,761,178338,1,2024-03-30 00:00:00.000000
1028,802,157982,0,2024-01-27 00:00:00.000000
1029,692,151278,0,2024-02-11 00:00:00.000000
1030,760,70015,0,2024-02-21 00:00:00.000000
1031,395,107939,2,2024-01-23 00:00:00.000000
1032,530,184899,2,2024-03-11 00:00:00.000000
1033,542,137845,1,2024-02-11 00:00:00.000000
1034,327,45939,1,2024-03-15 00:00:00.000000
1035,805,95766,1,2024-04-12 00:00:00.000000
1036,489,43776,0,2024-01-27 00:00:00.000000
1037,558,41959,0,2024-03-02 00:00:00.000000
1038,524,33545,0,2024-03-19 00:00:00.000000
1039,673,81087,0,2024-04-14 00:00:00.000000
1040,412,71005,2,2024-02-21 00:00:00.000000
1041,567,72733,0,2024-01-03 00:00:00.000000
1042,412,87172,0,2024-03-21 00:00:00.000000
1043,412,132859,0,2024-04-10 00:00:00.000000
1044,524,75680,0,2024-01-02 00:00:00.000000
1045,352,70859,0,2024-03-10 00:00:00.000000
1046,715,90467,0,2024-02-25 00:00:00.000000
1047,422,163760,1,2024-01-24 00:00:00.000000
1048,497,109045,0,2024-04-21 00:00:00.000000
1049,443,176256,0,2024-02-28 00:00:00.000000
1050,625,71663,0,2024-01-20 00:00:00.000000
1051,702,144249,0,2024-01-19 00:00:00.000000
1052,447,153983,0,2024-04-14 00:00:00.000000
1053,637,31111,0,2024-04-01 00:00:00.000000
1054,772,132561,2,2024-04-03 00:00:00.000000
1055,597,50306,0,2024-01-16 00:00:00.000000
1056,645,127512,0,2024-04-22 00:00:00.000000
1057,301,182688,0,2024-01-12 00:00:00.000000
1058,752,137796,1,2024-04-28 00:00:00.000000
1059,308,27400,0,2024-02-17 00:00:00.000000
1060,507,86690,1,2024-02-23 00:00:00.000000
1061,419,79040,0,2024-03-15 00:00:00.000000
1062,719,199426,0,2024-03-29 00:00:00.000000
1063,398,153272,0,2024-04-19 00:00:00.000000
1064,637,97505,0,2024-03-20 00:00:00.000000
1065,460,58467,0,2024-01-21 00:00:00.000000
1066,803,173471,1,2024-03-07 00:00:00.000000
1067,700,90271,0,2024-03-16 00:00:00.000000
1068,769,39830,0,2024-01-30 00:00:00.000000
1069,337,67333,0,2024-02-23 00:00:00.000000
1070,582,50746,1,2024-01-30 00:00:00.000000
1071,583,190862,0,2024-03-09 00:00:00.000000
1072,815,122946,1,2024-01-17 00:00:00.000000
1073,471,144123,0,2024-02-15 00:00:00.000000
1074,672,63525,0,2024-04-14 00:00:00.000000
1075,336,169783,0,2024-02-15 00:00:00.000000
1076,480,135294,2,2024-04-06 00:00:00.000000
1077,415,85726,0,2024-02-01 00:00:00.000000
1078,460,138015,0,2024-01-18 00:00:00.000000
1079,622,56631,0,2024-02-16 00:00:00.000000
