event_id,customer_id,event_type,amount,tax_rate,event_date
1,1000,purchase,,0.09147,2024-04-23
2,1000,purchase,60.0,0.092997,01/05/2024
3,1000,purchase,82.0,0.106805,07-16-2024
4,1000,purchase,103.0,0.110139,2024-08-10
5,1000,purchase,32.0,0.125546,15/08/2024
6,1000,refund,101.0,0.100832,09-14-2024
7,1000,purchase,44.0,0.100912,2024-09-18
8,1000,refund,24.0,0.081318,26/09/2024
9,1000,purchase,84.0,0.104019,11-05-2024
10,1001,purchase,118.0,0.086693,2024-04-17
11,1001,purchase,74.0,0.123236,18/04/2024
12,1001,purchase,114.0,0.117496,05-20-2024
13,1001,refund,42.0,0.118449,2024-06-16
14,1001,refund,93.0,0.098893,15/09/2024
15,1001,purchase,92.0,0.086458,10-13-2024
16,1002,purchase,53.0,0.103811,2024-04-29
17,1002,refund,69.0,0.122609,27/05/2024
18,1002,purchase,24.0,0.08442,05-29-2024
19,1002,purchase,36.0,0.086701,2024-06-03
20,1002,purchase,98.0,0.119233,06/07/2024
21,1002,purchase,94.0,0.090648,07-26-2024
22,1002,purchase,117.0,0.097529,2024-07-29
23,1002,purchase,49.0,0.107741,16/08/2024
24,1003,purchase,75.0,0.122105,2024-03-21
25,1003,purchase,103.0,0.102957,22/03/2024
26,1003,refund,72.0,0.097371,04-12-2024
27,1003,purchase,62.0,0.092007,2024-04-13
28,1003,purchase,42.0,0.086402,10/05/2024
29,1003,purchase,35.0,0.112044,05-12-2024
30,1003,purchase,75.0,0.100583,2024-06-06
31,1003,refund,46.0,0.113378,03/07/2024
32,1004,purchase,20.0,0.106721,2024-02-28
33,1004,purchase,65.0,0.098213,25/03/2024
34,1004,purchase,64.0,0.096079,04-23-2024
35,1004,purchase,66.0,0.111395,2024-05-03
36,1004,purchase,113.0,0.087849,03/06/2024
37,1004,purchase,100.0,0.093844,08-20-2024
38,1004,purchase,,0.089226,2024-09-29
39,1005,purchase,42.0,0.105584,2024-04-30
40,1005,purchase,37.0,0.102371,11/06/2024
41,1005,purchase,34.0,0.085243,07-03-2024
42,1005,purchase,47.0,0.081004,2024-08-03
43,1005,purchase,105.0,0.096375,09/08/2024
44,1005,purchase,36.0,0.097146,09-17-2024
45,1005,purchase,29.0,0.119459,2024-10-20
46,1006,refund,83.0,0.108539,2024-04-06
47,1006,purchase,89.0,0.110289,08/04/2024
48,1006,purchase,41.0,0.091267,05-12-2024
49,1006,purchase,23.0,0.122541,2024-06-22
50,1006,purchase,113.0,0.088669,10/07/2024
51,1006,refund,22.0,0.106226,07-20-2024
52,1006,purchase,55.0,0.129863,2024-07-20
53,1006,refund,103.0,0.128474,22/07/2024
54,1006,refund,25.0,0.128753,09-15-2024
55,1006,purchase,70.0,0.121043,2024-09-16
56,1007,purchase,103.0,0.105381,2024-04-03
57,1007,purchase,66.0,0.115362,29/04/2024
58,1007,purchase,57.0,0.109062,06-16-2024
59,1007,purchase,119.0,0.096032,2024-07-01
60,1007,purchase,25.0,0.09683,04/07/2024
61,1007,purchase,42.0,0.107446,07-22-2024
62,1007,purchase,59.0,0.120494,2024-08-10
63,1008,purchase,68.0,0.122536,2024-04-01
64,1008,purchase,69.0,0.086215,17/05/2024
65,1008,purchase,28.0,0.09025,08-30-2024
66,1008,purchase,20.0,0.117056,2024-09-08
67,1008,purchase,83.0,0.119076,19/09/2024
68,1008,refund,33.0,0.119977,10-29-2024
69,1009,purchase,91.0,0.101957,2024-02-24
70,1009,purchase,70.0,0.111205,10/04/2024
71,1009,purchase,82.0,0.105136,04-30-2024
72,1009,purchase,116.0,0.099574,2024-05-16
73,1009,purchase,72.0,0.125324,27/05/2024
74,1009,purchase,70.0,0.101576,05-27-2024
75,1009,purchase,,0.096745,2024-07-09
76,1009,purchase,34.0,0.123931,31/07/2024
77,1010,purchase,87.0,0.108494,2024-03-30
78,1010,purchase,93.0,0.097104,28/05/2024
79,1010,refund,50.0,0.098941,07-25-2024
80,1010,purchase,71.0,0.099864,2024-07-25
81,1010,purchase,24.0,0.104318,22/08/2024
82,1010,purchase,64.0,0.116002,08-24-2024
83,1011,purchase,42.0,0.1031,2024-02-23
84,1011,refund,31.0,0.125593,10/03/2024
85,1011,purchase,101.0,0.110573,03-19-2024
86,1011,purchase,79.0,0.109648,2024-03-21
87,1011,purchase,87.0,0.119504,21/04/2024
88,1011,purchase,111.0,0.098722,04-26-2024
89,1011,purchase,70.0,0.116822,2024-05-26
90,1011,refund,105.0,0.125534,09/07/2024
91,1012,purchase,59.0,0.110395,2024-03-13
92,1012,purchase,72.0,0.09676,14/03/2024
93,1012,purchase,45.0,0.096675,03-18-2024
94,1012,purchase,44.0,0.123176,2024-05-13
95,1012,refund,26.0,0.097348,19/05/2024
96,1012,purchase,36.0,0.109353,09-15-2024
97,1013,purchase,41.0,0.091005,2024-03-18
98,1013,purchase,68.0,0.088902,20/05/2024
99,1013,refund,68.0,0.107865,08-01-2024
100,1013,refund,82.0,0.129844,2024-08-17
101,1013,purchase,20.0,0.095497,19/08/2024
102,1013,purchase,70.0,0.090495,08-20-2024
103,1013,refund,51.0,0.103412,2024-09-07
104,1013,purchase,112.0,0.103603,08/09/2024
105,1014,purchase,48.0,0.083775,2024-02-18
106,1014,purchase,29.0,0.093537,04/05/2024
107,1014,purchase,116.0,0.081269,06-23-2024
108,1014,purchase,69.0,0.12335,2024-06-24
109,1014,purchase,76.0,0.091099,12/07/2024
110,1014,purchase,78.0,0.105275,08-15-2024
111,1014,purchase,86.0,0.124373,2024-08-28
112,1014,purchase,,0.084972,12/09/2024
113,1015,purchase,104.0,0.081327,2023-12-31
114,1015,purchase,55.0,0.112146,20/01/2024
115,1015,purchase,20.0,0.120872,01-20-2024
116,1015,purchase,21.0,0.098153,2024-03-08
117,1015,purchase,39.0,0.111207,27/03/2024
118,1015,purchase,113.0,0.098138,06-26-2024
119,1015,refund,118.0,0.127423,2024-07-07
120,1015,purchase,43.0,0.085712,10/08/2024
121,1016,purchase,92.0,0.086968,2024-02-29
122,1016,refund,23.0,0.086614,10/03/2024
123,1016,refund,117.0,0.093615,03-15-2024
124,1016,purchase,37.0,0.106483,2024-04-10
125,1016,purchase,60.0,0.093703,24/06/2024
126,1016,purchase,44.0,0.104873,07-07-2024
127,1016,purchase,105.0,0.086844,2024-09-11
128,1016,refund,25.0,0.116609,26/09/2024
129,1017,purchase,73.0,0.116902,2024-04-07
130,1017,purchase,55.0,0.118549,04/06/2024
131,1017,purchase,30.0,0.094435,06-11-2024
