customer_id,tag,start_date,end_date
1000,sigma,2024-03-23,2024-07-17
1000,beta,2024-01-21,2024-03-02
1001,delta,2024-05-11,2024-07-03
1001,alpha,2024-01-03,2024-04-29
1001,alpha,2024-01-13,2024-04-08
1001,beta,2024-03-30,2024-06-01
1002,delta,2024-01-03,2024-04-02
1002,beta,2024-06-12,2024-09-10
1002,omega,2024-04-25,2024-07-25
1003,alpha,2024-08-25,2024-10-13
1003,sigma,2024-01-18,2024-03-06
1004,gamma,2024-02-05,2024-05-25
1004,delta,2024-10-26,2024-12-18
1005,gamma,2024-09-08,2024-12-13
1006,beta,2024-08-16,2024-10-12
1006,beta,2024-10-01,2025-01-28
1006,alpha,2024-09-11,2024-10-23
1007,beta,2024-07-09,2024-10-20
1007,beta,2024-10-24,2025-01-25
1007,alpha,2024-07-23,2024-11-10
1008,alpha,2024-07-14,2024-11-06
1008,omega,2024-09-13,2024-11-08
1009,beta,2024-04-28,2024-07-17
1010,alpha,2024-03-12,2024-05-24
1010,beta,2024-04-29,2024-06-26
1011,omega,2024-04-18,2024-07-16
1011,sigma,2024-01-27,2024-05-17
1012,gamma,2024-02-14,2024-04-02
1012,beta,2024-06-14,2024-09-21
1013,sigma,2024-07-19,2024-09-20
1013,beta,2024-08-04,2024-11-19
1013,delta,2024-05-14,2024-07-05
1014,omega,2024-01-27,2024-04-12
1014,sigma,2024-07-22,2024-09-24
1014,beta,2024-09-16,2025-01-12
1015,alpha,2024-04-25,2024-07-24
1015,alpha,2024-06-05,2024-08-01
1015,gamma,2024-01-16,2024-04-29
1016,sigma,2024-08-25,2024-10-16
1016,gamma,2024-02-01,2024-05-30
1016,gamma,2024-03-26,2024-06-24
1017,omega,2024-03-21,2024-06-23
1017,gamma,2024-08-07,2024-11-25
1018,alpha,2024-05-09,2024-08-28
1018,alpha,2024-05-28,2024-09-14
1018,sigma,2024-09-18,2024-12-03
1018,gamma,2024-01-08,2024-05-03
1019,sigma,2024-10-14,2025-01-27
1020,omega,2024-06-06,2024-08-18
1021,alpha,2024-01-31,2024-04-18
1021,beta,2024-03-27,2024-06-22
1022,alpha,2024-03-17,2024-06-22
1022,delta,2024-10-08,2024-12-14
1023,sigma,2024-09-01,2024-12-06
1023,beta,2024-09-06,2024-12-11
1023,gamma,2024-05-23,2024-09-01
1024,omega,2024-01-22,2024-03-18
1024,omega,2024-04-17,2024-06-10
1025,beta,2024-08-14,2024-10-08
1026,omega,2024-05-07,2024-07-08
1026,omega,2024-06-09,2024-09-16
1027,delta,2024-10-14,2025-01-17
1028,sigma,2024-10-10,2025-01-07
1028,beta,2024-04-20,2024-06-24
1029,alpha,2024-10-23,2025-01-22
1029,omega,2024-03-06,2024-05-08
1029,omega,2024-05-13,2024-07-29
1030,alpha,2024-04-23,2024-08-15
1031,omega,2024-02-04,2024-04-17
1031,alpha,2024-01-19,2024-05-05
1031,alpha,2024-10-13,2024-12-15
1032,omega,2024-06-23,2024-09-17
1032,sigma,2024-06-22,2024-09-04
1033,delta,2024-07-07,2024-09-23
1034,gamma,2024-06-07,2024-09-27
1035,beta,2024-09-23,2024-12-02
1035,sigma,2024-09-02,2024-12-06
1035,alpha,2024-01-21,2024-03-10
1036,alpha,2024-03-27,2024-05-27
1036,alpha,2024-07-22,2024-09-26
1037,delta,2024-07-30,2024-10-07
1037,sigma,2024-07-07,2024-10-19
1037,sigma,2024-10-20,2025-02-03
1037,gamma,2024-02-12,2024-05-20
1038,alpha,2024-03-17,2024-04-30
1038,alpha,2024-06-27,2024-09-29
1039,gamma,2024-05-25,2024-08-27
1040,delta,2024-03-06,2024-05-31
1040,sigma,2024-01-06,2024-02-28
1040,sigma,2024-06-13,2024-07-26
1041,omega,2024-09-14,2025-01-11
1041,alpha,2024-01-24,2024-03-18
1041,sigma,2024-06-30,2024-10-25
1042,sigma,2024-10-22,2025-01-08
1043,omega,2024-03-14,2024-06-24
1043,omega,2024-07-09,2024-09-03
1044,omega,2024-07-08,2024-10-09
1045,omega,2024-03-21,2024-06-13
1045,beta,2024-01-15,2024-05-11
1046,gamma,2024-01-27,2024-03-08
1047,beta,2024-07-12,2024-11-06
1048,sigma,2024-02-10,2024-03-24
1049,sigma,2024-06-20,2024-10-15
1049,sigma,2024-10-02,2024-12-12
1049,gamma,2024-01-27,2024-03-31
1050,sigma,2024-02-21,2024-06-11
1050,alpha,2024-09-08,2024-11-02
1051,beta,2024-02-17,2024-04-18
1051,beta,2024-03-23,2024-06-19
1052,gamma,2024-08-30,2024-12-20
1053,delta,2024-03-15,2024-05-31
1053,beta,2024-04-24,2024-07-11
1054,beta,2024-01-13,2024-03-10
1054,beta,2024-04-04,2024-06-03
1054,sigma,2024-08-15,2024-10-01
1055,beta,2024-10-01,2024-12-02
1056,alpha,2024-08-31,2024-11-19
1057,beta,2024-03-12,2024-04-27
1057,alpha,2024-03-17,2024-06-26
1058,beta,2024-01-23,2024-03-05
1058,gamma,2024-06-21,2024-08-07
1059,sigma,2024-04-17,2024-06-15
1060,beta,2024-03-23,2024-05-19
1060,alpha,2024-10-07,2024-12-12
1061,alpha,2024-06-07,2024-07-25
1062,sigma,2024-03-25,2024-06-16
1062,sigma,2024-10-06,2025-01-13
1063,beta,2024-01-16,2024-04-09
1063,alpha,2024-05-27,2024-09-06
1063,alpha,2024-08-23,2024-10-13
1064,sigma,2024-06-03,2024-08-09
1064,alpha,2024-04-25,2024-07-22
1065,sigma,2024-01-26,2024-03-30
1065,gamma,2024-08-04,2024-11-23
1066,sigma,2024-09-24,2025-01-07
1067,omega,2024-05-18,2024-07-20
1067,omega,2024-08-11,2024-11-25
1067,gamma,2024-09-06,2024-12-20
1068,omega,2024-03-22,2024-05-09
1068,sigma,2024-02-17,2024-05-19
1068,sigma,2024-02-18,2024-05-23
1069,sigma,2024-02-23,2024-05-25
1069,omega,2024-03-18,2024-07-15
1069,gamma,2024-05-01,2024-08-08
1070,sigma,2024-05-25,2024-09-01
1071,alpha,2024-02-19,2024-04-12
1071,omega,2024-03-24,2024-06-01
1072,gamma,2024-01-16,2024-05-12
1072,gamma,2024-04-07,2024-07-27
1073,omega,2024-06-16,2024-08-19
1073,sigma,2024-05-10,2024-08-26
1074,alpha,2024-08-18,2024-10-29
1074,alpha,2024-10-17,2024-12-28
1074,omega,2024-01-28,2024-05-24
1075,beta,2024-09-27,2024-11-08
1076,sigma,2024-05-24,2024-08-06
1076,delta,2024-08-01,2024-10-22
1077,sigma,2024-09-03,2024-10-17
1077,beta,2024-05-28,2024-09-16
1077,delta,2024-03-14,2024-06-12
1077,delta,2024-08-13,2024-11-01
1078,beta,2024-07-28,2024-09-28
1079,omega,2024-01-20,2024-05-15
1079,alpha,2024-08-31,2024-12-16
1080,gamma,2024-03-31,2024-05-15
1080,alpha,2024-02-07,2024-04-21
1080,sigma,2024-09-10,2024-11-26
1081,alpha,2024-05-02,2024-07-25
1081,alpha,2024-08-15,2024-12-12
1082,alpha,2024-01-26,2024-04-17
1082,sigma,2024-07-07,2024-08-31
1083,sigma,2024-04-29,2024-07-23
1083,alpha,2024-01-25,2024-03-22
1083,omega,2024-04-18,2024-07-05
1084,gamma,2024-04-11,2024-06-30
1084,alpha,2024-07-09,2024-11-02
1084,delta,2024-03-13,2024-07-02
1085,alpha,2024-01-19,2024-04-01
1085,beta,2024-06-23,2024-09-16
1085,delta,2024-03-21,2024-05-18
1085,delta,2024-06-04,2024-08-09
1086,beta,2024-06-19,2024-10-05
1086,delta,2024-07-04,2024-08-20
