date,unit_id,shift,items_in,items_out,rework_minutes,downtime_minutes,energy_kwh,quality_flag,flow_signal
2026-02-01,U1,day,210,182,16,32,68.0,review,dip
2026-02-01,U2,swing,339,305,25,35,117.0,ok,stable
2026-02-01,U3,night,241,233,19,5,69.0,ok,stable
2026-02-01,U4,dawn,182,143,21,20,81.0,ok,stable
2026-02-01,U5,day,271,239,23,32,64.0,ok,stable
2026-02-01,U6,swing,317,291,9,29,73.0,review,spike
2026-02-01,U7,night,327,300,0,23,101.0,ok,stable
2026-02-01,U8,dawn,329,290,3,27,119.0,review,dip
2026-02-02,U1,swing,305,272,16,16,108.0,ok,dip
2026-02-02,U2,night,311,302,18,14,71.0,review,dip
2026-02-02,U3,dawn,313,299,22,27,115.0,ok,dip
2026-02-02,U4,day,211,174,21,30,87.0,ok,stable
2026-02-02,U5,swing,258,220,25,25,110.0,ok,spike
2026-02-02,U6,night,182,172,4,29,117.0,ok,stable
2026-02-02,U7,dawn,304,267,16,31,110.0,ok,dip
2026-02-02,U8,day,254,226,14,6,111.0,ok,spike
2026-02-03,U1,night,311,287,14,11,109.0,review,stable
2026-02-03,U2,dawn,196,171,15,23,67.0,ok,dip
2026-02-03,U3,day,217,181,0,34,55.0,review,spike
2026-02-03,U4,swing,201,181,7,7,60.0,ok,dip
2026-02-03,U5,night,271,254,0,20,117.0,ok,dip
2026-02-03,U6,dawn,319,297,15,8,119.0,ok,stable
2026-02-03,U7,day,220,204,25,19,119.0,ok,spike
2026-02-03,U8,swing,313,293,12,0,68.0,ok,stable
2026-02-04,U1,dawn,268,238,24,1,58.0,ok,stable
2026-02-04,U2,day,257,221,10,7,118.0,review,stable
2026-02-04,U3,swing,223,206,18,33,81.0,ok,stable
2026-02-04,U4,night,333,311,21,4,106.0,ok,stable
2026-02-04,U5,dawn,224,214,20,34,61.0,ok,spike
2026-02-04,U6,day,228,190,25,1,71.0,ok,dip
2026-02-04,U7,swing,312,296,5,11,104.0,ok,stable
2026-02-04,U8,night,200,168,9,11,99.0,ok,stable
2026-02-05,U1,day,286,260,14,11,96.0,ok,stable
2026-02-05,U2,swing,314,289,3,13,84.0,ok,stable
2026-02-05,U3,night,296,267,13,34,78.0,review,stable
2026-02-05,U4,dawn,220,190,17,34,82.0,ok,spike
2026-02-05,U5,day,322,301,18,18,89.0,ok,stable
2026-02-05,U6,swing,247,233,13,10,68.0,ok,spike
2026-02-05,U7,night,227,213,16,20,90.0,ok,stable
2026-02-05,U8,dawn,260,242,8,16,63.0,ok,dip
2026-02-06,U1,swing,245,211,22,3,67.0,review,stable
2026-02-06,U2,night,204,174,10,29,59.0,review,stable
2026-02-06,U3,dawn,235,198,13,7,102.0,review,stable
2026-02-06,U4,day,244,212,9,22,62.0,ok,stable
2026-02-06,U5,swing,186,160,22,21,92.0,ok,spike
2026-02-06,U6,night,211,184,24,26,95.0,ok,stable
2026-02-06,U7,dawn,267,247,17,3,69.0,ok,stable
2026-02-06,U8,day,189,173,16,22,93.0,ok,stable
2026-02-07,U1,night,271,237,12,24,85.0,ok,stable
2026-02-07,U2,dawn,212,193,17,1,105.0,review,spike
2026-02-07,U3,day,238,229,0,17,116.0,ok,dip
2026-02-07,U4,swing,215,202,5,35,59.0,ok,dip
2026-02-07,U5,night,311,287,10,33,95.0,ok,spike
2026-02-07,U6,dawn,242,204,1,14,74.0,review,dip
2026-02-07,U7,day,282,251,25,14,90.0,ok,stable
2026-02-07,U8,swing,271,234,20,35,115.0,review,spike
2026-02-08,U1,dawn,259,239,5,26,74.0,ok,stable
2026-02-08,U2,day,270,236,25,2,77.0,ok,stable
2026-02-08,U3,swing,247,231,22,6,57.0,ok,spike
2026-02-08,U4,night,329,302,18,2,105.0,ok,dip
2026-02-08,U5,dawn,312,294,16,6,65.0,ok,stable
2026-02-08,U6,day,320,296,9,2,79.0,ok,stable
2026-02-08,U7,swing,318,292,11,8,104.0,ok,spike
2026-02-08,U8,night,182,144,13,22,76.0,ok,stable
2026-02-09,U1,day,260,243,5,1,69.0,ok,dip
2026-02-09,U2,swing,180,149,2,23,93.0,ok,stable
2026-02-09,U3,night,336,313,4,6,96.0,ok,dip
2026-02-09,U4,dawn,198,166,8,19,118.0,ok,dip
2026-02-09,U5,day,210,187,11,29,99.0,ok,spike
2026-02-09,U6,swing,202,163,24,19,88.0,ok,stable
2026-02-09,U7,night,263,228,16,35,97.0,ok,dip
2026-02-09,U8,dawn,306,273,10,11,80.0,review,stable
2026-02-10,U1,day,269,239,13,24,82.0,ok,spike
2026-02-10,U2,swing,212,177,8,21,70.0,ok,spike
2026-02-10,U3,night,293,269,4,34,89.0,ok,dip
2026-02-10,U4,dawn,323,308,8,18,113.0,ok,stable
2026-02-10,U5,day,320,291,21,26,98.0,ok,spike
2026-02-10,U6,swing,306,285,13,22,97.0,ok,stable
2026-02-10,U7,night,224,216,8,35,87.0,ok,stable
2026-02-10,U8,dawn,336,302,24,30,116.0,ok,stable
